frecuencia frecuencia_wo wo Q Ho valor_transferencia
600 900 5654.86677646 1.6 1.6 0.96
600 900 5654.86677646 1.7 1.7 0.980361435918
600 900 5654.86677646 1.8 1.8 0.998460353205
600 900 5654.86677646 1.9 1.8 0.961187384498
600 900 5654.86677646 2.0 1.9 0.977541935312
600 900 5654.86677646 2.1 2.0 0.992277876714
600 900 5654.86677646 2.2 2.0 0.957704261361
600 900 5654.86677646 2.3 2.1 0.97138861406
600 900 5654.86677646 2.4 2.2 0.9838699101
600 900 5654.86677646 2.5 2.2 0.952008348686
600 900 5654.86677646 2.6 2.3 0.963833808162
600 900 5654.86677646 2.7 2.4 0.974732318528
600 900 5654.86677646 2.8 2.5 0.984798246448
800 400 2513.27412287 0.1 1.0 0.988936352868
800 400 2513.27412287 0.2 1.0 0.957826285221
800 400 2513.27412287 0.3 1.1 1.00311365569
800 400 2513.27412287 0.4 1.2 1.02899151086
800 400 2513.27412287 0.5 1.2 0.96
800 400 2513.27412287 0.6 1.3 0.966282390121
800 400 2513.27412287 0.7 1.4 0.965517241379
800 400 2513.27412287 0.8 1.5 0.960276599497
800 400 2513.27412287 0.9 1.6 0.952364081001
800 400 2513.27412287 1.0 1.8 0.998460353205
800 400 2513.27412287 1.1 1.9 0.984773260577
800 400 2513.27412287 1.2 2.0 0.971285862357
800 480 3015.92894745 0.1 1.0 0.994359200552
800 480 3015.92894745 0.2 1.0 0.977992836424
800 480 3015.92894745 0.3 1.0 0.952424147199
800 480 3015.92894745 0.4 1.1 1.01175598489
800 480 3015.92894745 0.5 1.1 0.970588235294
800 480 3015.92894745 0.6 1.2 1.01072568079
800 480 3015.92894745 0.7 1.2 0.961536266493
800 480 3015.92894745 0.8 1.3 0.988892638952
800 480 3015.92894745 0.9 1.4 1.00994224944
800 480 3015.92894745 1.0 1.4 0.957517580434
800 480 3015.92894745 1.1 1.5 0.972978090183
800 480 3015.92894745 1.2 1.6 0.985030467156
800 480 3015.92894745 1.3 1.7 0.99436555098
800 480 3015.92894745 1.4 1.8 1.00153990082
800 480 3015.92894745 1.5 1.8 0.953998092006
800 560 3518.58377202 0.1 1.0 0.997356438068
800 560 3518.58377202 0.2 1.0 0.989549796266
800 560 3518.58377202 0.3 1.0 0.976936422088
800 560 3518.58377202 0.4 1.0 0.960061420817
800 560 3518.58377202 0.5 1.1 1.03355704698
800 560 3518.58377202 0.6 1.1 1.00790520739
800 560 3518.58377202 0.7 1.1 0.979919002109
800 560 3518.58377202 0.8 1.1 0.950353695489
800 560 3518.58377202 0.9 1.2 1.00350401748
800 560 3518.58377202 1.0 1.2 0.969883795474
800 560 3518.58377202 1.1 1.3 1.01442215329
800 560 3518.58377202 1.2 1.3 0.978696064088
800 560 3518.58377202 1.3 1.4 1.01644821995
800 560 3518.58377202 1.4 1.4 0.980099975296
800 560 3518.58377202 1.5 1.5 1.01260396192
800 560 3518.58377202 1.6 1.5 0.976646579086
800 560 3518.58377202 1.7 1.6 1.00510539888
800 640 4021.23859659 0.1 1.0 0.998989035144
800 640 4021.23859659 0.2 1.0 0.995974438843
